 December 2022,5,Warm and welcoming - Reflective of the great Moroccan culture! Highly recommended.,"Abdallah (hotel manager), Hamdi, Yassine and the entire Hyatt team at Casablanca made us feel like coming back home after long hours of travel. This is my 5-6th stay with the Casablanca Hyatt over 15 years and I cannot recommend it higher. They took care of everything!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,hotelName,city
 April 2012,4,Very good Casablanca business hotel,"My understanding is this is the best hotel in Casablanca. I stayed here for a week for business. If you dont have a car picking you up at the airport, you should spend about 200 - 300 MAD for a taxi. The hotel is right by the bizarre which is great if you want to go shopping for souvenirs. The staff: concierge, doorman, front desk are all very helpful and friendly. They even helped us get tickets to Cirque du Solieil. The rooms are nice, cleaned perfectly daily, comfortable beds, shower & bath. I belong to their loyalty programme so there was something special in my room most days: macaroons, chocolates for easter, fresh flowers - so lovely! I would recommend the 2 restaurants in the hotel - French Cafe M and Arabic Dar Beida. Their breakfast is also lovely with…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2012,5,Amazingly guest focused hotel,"The hotel staff and service that we received in this hotel is second to none that I have experienced in the world. No matter the request, it was attended to immediately, and resolved to our satisfaction. Almost without exception, when we as travellers stay in hotels we experience some sort of issue with some aspect of our stay in a hotel, but to have any issue, no matter how small attended to immediately, with a smile and to get follow up to ensure satisfaction is to me the test of an exceptionally well run hotel. Food was good, cleanliness great, location good.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2012,5,Beautiful interior,"I decided to book a night here since I had an early flight the next day back to Detorit via Paris from afternoon flight into Casablanca from Agadir. The place didn't look like much from the outside, but the inside is quite beautiful. The rooms are very well kept and clean. King sized bed was comfortable. Out of the three cities I spent time in, I found Casablanca to have the fewest English speaking folks but the desk staff did speak English. On the plus side, there is more Spanish spoken in Casablanca than in Agadir or Marrakech. The noise below is there - it's in a very busy part of town. The call to prayer is quite loud but I had no issue with this as it is part of the culture. The Hyatt is in walking distance from lots of shopping and restaurtants. I gave the…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2012,5,Best hotel in Casa,"If you can afford it, this is the best place to stay in Casablanca. Very friendly service, nice rooms, good restaurants, great pool. Everything, even the internet works. The rooms on the old city side are noisy because of the calls to prayer, but worth it because of the superb views over the old city. The rooms are a tad functional and charmless, but spacious enough (just) and very comfortable and clean. Location is perfect. A very good hotel, and a delightful introduction to Moroccan hospitality.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2012,5,"Great stay, fantastic staff","What a wonderfull stay in Hyatt. Warm welcome, clean room, fantastic food and great team to look after us. Thank you to Fanny, Zahra, Souraina and Abderrahmen for making my birthday trip such a fantastic experience. I could not imagine being pampered better:):):). X",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2012,5,Business Trip was Turned into a Memorable Experience,"I had the privilege to stay at the Hyatt Regency Casablanca for business. I can not say enough good thing about this hotel and the amazing staff. As an American who is not fluent in French or Arabic, this hotel made me feel welcome, at home and safe. They guided me how to enjoy Casablanca safely and I fell in love with the people. Thank You Brian",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2012,5,Excellent,"I had an excellent experience at the Hyatt Regency Casablanca. The staff at the reception desk was very friendly and helpful. We were checked in quickly and were able to go straight to our rooms. The rooms were spacious and nice size bathroom with the toilet in a separate room. The bed was really comfortable with a firm mattress. The rooms were clean and tidy. There was internet connection in the room, which I had no difficulty with. There is also internet in the lobby. The restaurants in the hotel were nice, we ate at 2 of the restaurants and had room service. The staff in the restaurants and room service was helpful and accommodating. There was a good selection of food at breakfast. There isn’t anything with the hotel which I would personally fault.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2012,5,Excellent,"I spent three nights in this hotel for a business trip. I had a ""king room"". I felt myself so comfortable there. It is a Hyatt Regency and I suppose that’s explaining everything and is not necessary to write much detailed. Rooms are very big and very well equipped. Bed is so comfortable which made me so happy because I was extremely tired during this trip. Meals and the service are excellent, the staff is friendly. Unfortunately I spent my birthday there and was a nice surprise when a staff member knocked on the door and came with a delicious cake and a kind gift. Hotel is well situated however I don’t consider Casablanca as a touristic place. One thing I did not like was the Internet. Hotel provides internet access everywhere by wifi and by cable in the room. But wifi didn’t…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2011,5,Comfortable!!,"I Occasionally go to Casablanca on business, and I usually stay in the Hyatt, for several reasons... Best thing about the hotel is the spacious and comfortable rooms, not to mention the great view of the - not very distant - Hassan II mosque and the ocean. Meals and the service are extremely good, and the staff is friendly. The location of the hotel has a good side and a bad side: one way, it is located downtown where one can get close to anything no sweat, however, and because of the civil works downtown Casablanca - specifically around the hotel - the area is always jammed with traffic. All in all, it is the best hotel I stayed in while in Casablanca. Highly recommended",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2012,4,Probably the best in Casablanca,I often go to Casablanca for Business and I find that the Hyatt Regency is probably your best bet for international standards and overall good hotel. The rooms are quite spacious and comfortable and the staff is attentive and nice.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2012,4,It was fine - very good staff - Roadworks uggh!!,The hotel is fine - It is a Hyatt Regency so you expect it to be nice - and it is fully adequate. I had a superior room and was kind of disappointed with the view - it looked out over the Place des Nations Unies which is being totally torn up at the moment - the square is strewn with barriers as they lay tram lines over the area. The surrounding area is very picturesque - nice parks and squares all within walking distance. The restaurants in the hotel are very good - though expensive by local standards. The grand taxis congregate right outside the front door and of course try to charge you outrageous prices to go the smallest distance. The staff at the hotel are wonderful - especially the concierge. My luggage was completely lost someplace along my long journey from…,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2011,4,Hyattt or Kenzi Tower?,"The Hyatt Casablanca is very nice. My room was clean and large, very comfortable. I have no complaints. Bottled water was free, there was free, fast wired internet in the room, and there is ample room in the very nice lobby for impromptu meetings with colleagues. When I was there in December the computer was down at checkout, which meant we got only handwritten receipts until a regular receipt was emailed several days later. The elevators were broken and being repaired, so there were queues. Breakfast was not included and expensive, and the room was expensive. There is road construction in front which makes crossing the street to a regular breakfast restaurant tricky but possible. You can walk to the medina. Since then I also have stayed at the Kenzi Tower, where the…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2012,4,"Very good, but not the best for Hyatt","Hyatt in Casablanca lives overall up to what you would expect of a Hyatt Regency standard. Especially the breakfast area with it's classic-style dome, as well as the restaurant and fireside-area in the lobby were warmly appreciated. The main (big if you're here for leisure and not business) is the pool, which is in a small fenced of area by the back of the building, separated from the road noise by a fence and bushes (feels like standing in the middle of the intersection). Still, besides this, another good side is the location right off the old Medina, inviting for a casual stroll.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2012,4,"Nice lobby, comfortable room, average check-in","Pros: - Nice lobby and decoration - good bkfast - Comfortable room Cons: - Very poor welcome and check-in for this hotel category. Patronizing reception staff attitude, no genuine care for clients. - Expensive rates (2500 MAD / night without bkfast). IMO, rooms should not be more than 2000 MAD for the comfort, country, and level of rendered service. Still, one of the good hotels of Casablanca...for the moment.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2011,4,The best business hotel in Casablanca,"Nice hotel, they upgraded me to a suite to say sorry for shifting me to another hotel the previous night (because the King was in town). bar and food is good. Memorable night with colleagues watching belly dancing while a 30 American retirees shared their life stories over a loud microphone. Pool was closed due to a conference for Thoracic surgeons. The gym is a small room with one running machine and a sofa.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2011,4,A Great Hotel for a Few Nights in Casablanca,"The Hyatt Regency Casablanca is a stunning hotel in downtown Casablanca. The rooms are very modern and extremely clean. The mini bar selection is nice (But pricey) and the bed was extremely comfortable (I am a fussy sleeper). The rooms are quiet and the decor is modern. The separate toilet room at the entrance of the room is a nice touch. The corridors are dark, but feel luxurious. The lobby is a snapshot of the 50's in the US... Loads of leather couches and chairs and smoking is perfectly acceptable (this bothered me, but to each his own). Meals were lovely but expensive. Walking distance to some local attractions and luxury shopping. Stay here if you want luxury on your stay in Casablanca!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2011,5,excelent hotel!,"our experience was very very good, the staff was very kind, the decoration is modern but with influence of the culture from morroco. the cafe m restaurant inside the hotel is fantastic and the food super international.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2012,3,"Nice hotel, but bring a thick wallet","The Hyatt Casablanca is a very nice hotel, but very pricey. Pros: Very nice interior, helpful staff and free wifi. Cons: Pricey (breakfast buffet - semi-nice) cost $32 USD and lunch and drinks were expensive, the breakfest, lunch and dinner locations are smoke filled with many people smoking. Kind of surprising, most highly rated hotels around the world have banned smoking in eating places. The smoke was so think it hung in the air and made the eating area cloudy. The main elevators were not working and the eating locations were limited.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2011,5,"Great Hotel, Great Service, Great Location","Even though originally from Casablanca, I have stayed at the Hyatt Regency for 1 night on my last trip back home. The staff was very welcoming and helpful, in particular Mr. Abderrahmane Benmansour, the Duty Manager. He was very attentive to each and every requests, while being very courteous and professional. My suite was overlooking the souk (bazaar market), with the Hassan II mosque in the background.. The view is particularly breathtaking in the evening, when it is dark but the lights are still on. The ""6pm"" bar-lounge tends to be very crowded with local people in the evening, but it is a very nice spot to see and be seen. It is also open for Brunch, which I would also highly recommend. All in all, the Hyatt Regency is probably one of the best address in town, thanks to…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2011,5,"Great Hotel, great location, awesome service","We stayed here on the last day of our whirlwind 6 day 5 city tour of Morroco and after trying out various types of accommodations in the different cities of Morroco we felt that this one was the best. We stayed at sofitels as well as 5 star riads and Hyatt Casablanca was just a class apart. I have always noticed that for some reason the Hyatts outside of the US seem much better, the staff seems to try so hard to assist with everything that you feel taken care of. The service was impeccable, the hotel was absolutely beautiful from the inside, the rooms were quite large and well appointed. After trying out various other types of accommodations throughout Morroco this was such a welcome change. Pretty much each and every member of the staff that we interacted spoke perfect…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2011,4,"excellent breakfast, comfortable rooms","stayed for a stopover, the food at the hotel restaurants and lobby is good, rooms are spacious and comfortable",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2012,4,Great for Business,"This is my third visit to the Hyatt and Casablanca the last one being in mid-2011. The hotel continues to be in good shape and the service up to the mark. The Club floor rooms are spacious and the views are nice (either city view or Mosque view). Rooms have generous sized showers and ameminities. Includes writing desk, complementary wifi, water and nespresso coffee machines. Staff are friendly. Fitness center has good services. Tried the ""Cafe M"" French restruarant last night and it was excellent. The Club Lounge has complementary cocktails and drinks in the evening which is a nice treat.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2011,3,Very Expensive hotel,"well its the hyatt , so you would expect 5 star class service, which you get room are spacious, right beside the old market, but very expensive ..!! even for Hyatt prices, staff are friendly, but for me there are a few hotels close by that are much cheaper and not much a diff...",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2011,5,very good hotel,I stayed there with my collegues for business. Staff were really helpful and they provided all the necessary information. They organized guided tours and restaurants around. Recomended...,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2011,4,"Good hotel, but just below expectations","Stayed here for 3 nights. It is actually a very good hotel, but just below expectations for 'the best hotel in town'. Hotel services were attentive and helpful, its location very good (easily reachable) and breakfast in the lounge was very fine indeed, offering a range of Arabic as well as European foods to choose from, along with Nespresso coffee. The hotel also features several restaurants, and the one we tried served decent french cuisine. The room itself was spacious and offered all amenities you'd otherwise expect, but also displayed a kind of neglect and lack of maintenance that was also apparent in the rest of the hotel. This is a pity for an upmarket hotel like this. Although I certainly would not recommend against this hotel, there is still room for improvement.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2011,4,Luxury business hotel in Casablanca,"This was my first visit to Hyatt Regency in Casablanca and I was not disappointed. The staff is pleasant and efficient and the breakfast was of top quality. However, I missed cold cuts and smokeds salmon, but had well prepared poached eggs. I was offered an upgrade so my room was probably better equipped than standard, and the hotel offered free broadband wireless. I hope they do that for all the guests since paying for wireless when the roomrate is above 250 euros seems a little cheap. The Hyatt is not the cheapest business hotel, but sometimes a little luxury might be allowed even for business travellers.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2011,4,A great hotel with a caring service to match,"I have to travel to Casablanca on frequent business trips and have stayed at the Hyatt every time. From the moment first moment I stepped into the plush hotel lobby (3am!) the staff have always gone out of their way to look after me and my colleagues. I've stayed on every floor of the Hyatt and seen it through a refurb too. To be honest interior decoration is obviously lost on me because I hardly noticed the difference. However all the rooms were clean, tidy and very comfortable. I love the bathrooms although the shower drainage can be a little slow. No free internet either which for me is a disappointment at any hotel, whatever the star rating. The food at the Hyatt is excellent. For the first few trips I was overindulging at breakfast but soon found out this wasn't a great…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2011,4,Good but not great,"The Hyatt is a decent hotel, but for what's supposed to be the best hotel in town, I wasn't particularly impressed (I also tried Le Doge, which isn't necessarily better.) The rooms are fine and the breakfast spread is pretty good (although there were flies around the uncovered items every time I stayed and ate there over several weeks). The staff isn't very competent, however, and the concierge was pretty much useless for recommendations and information on places around town. They even have an outdoor pool, which isn't huge but big enough to do a few laps when it's warm enough. All in all, I would probably stay here again since there isn't anything better.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2011,5,Top notch!,"The central location was awesome and allowed for some fantastic sights and some rather ""interesting"" sights. The restaurants in the hotel were beautiful with the most wonderful staff and the most delicious food. Bed was comfy and room was very clean! Kudos to the staff...you could see that they truly enjoyed doing what they do!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2011,3,Non tutto cio' che luccica e' oro,"This hotel is in a central location, although don't let the name full you. The standards of the room are quite low for a 5 star luxury hotel. It's not very cleaned and it's not rare to see flyers arround the food at breakfast. The service is good and helpful. Stop here if you are travelling or business, avoid it if you are hoping in a romantic little place.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2011,5,Pamper yourself here!,"I stayed at the Hyatt in Casablanca after coming off of a 21 day trip around Morocco staying in a wide range of accommodation, some great others not so much. This Hyatt offers quiet upscale accommodation, extremely friendly staff, wonderfully comfortable beds and an amazing French restaurant in the hotel. The Regency Club is better then most offered by Hyatt, very nice wine and canapés, you could actually make a full meal if so inclined. The location couldn't be better, on the edge of the medina, my suite has a beautiful view of the Grand Mosque and the harbor. All in all if what you want is consistency, great service, wonderful food and location, this is the right place for you.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2011,5,Best Stay in Casablanca,"What a great place to stay in Casablanca. After a terrible experience at the Sofitel, Essaouria we made our way to Casablanca. The Hyatt Regency Casablanca provided everything we wanted. Great comfort, great food, good location, excellent service.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2011,4,Very Western hotel in Casablanca,"If you're looking for something Moroccan, this hotel isn't it. It has some classic features (like the area for breakfast) but for the most part is Westernised. The restaurant was quite good, but the food is Western. One curiosity was the toilet in the room - for a large room, one had to squeeze into the toilet room which was probably smaller than a domestic one!!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2011,4,"Very well-located hotel, close to the medina!","My partner and I stayed here for one night upon our arrival in Morocco. A great place to recover from your airplane trip before moving on to explore the rest of the country. Rooms are spacious, with superb beds, clean and quiet. We did not try any of the restaurants or the gym or pool, so I can't comment on those amenities. The price of the hotel is high, about what you'd pay for a hotel in New York City, and well above what hotels outside of Casablanca cost, but it is a very comfortable stopover, with a superb location just a block from the entrance to the medina.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2011,4,"Great Hotel, good located, friendly staff","I stayed in this hotel for one night as part of a business trip, and was really very well impressed. Great room, clean, and comfortable. I do not give the hotel an excellent classification, because of two things: first is that there is no ironing in the room (something key for business travellers), and the day I was about to leave, I booked a car to the airport for 10:30PM, I was at the lobby at 10:30, the concierge called a driver, a guy came and had a very hard discussion with the concierge (I was not able to understand a single word but assumed was the driver), which somehow made me feel not comfortable. The SIxPM bar is great. Super ambiance, great athosphere, not cheap, but totally aligned to prices you pay in similar bars, in same hotel level. No complains at all. The…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2011,5,"Business hotel, but great for tourists too","Casablanca city was ""an experience"", and we were glad to be staying in a really comfortable hotel with a great pool, an oasis in the big bad city. Rooms were great, spacious, brilliant shower, comforatble beds, modern decoration. Bar areas were great, drinks not too cheap, but not unexpected for the size & style of hotel and espcially as it is a muslim country where alcohol is obviously not viewed in the same way as the UK. We had breakfast each day in the hotel and it was really nice. We also ate in one of the hotel restaurants which was terrific food, and while it was the most expensive meal we had while we were in Morocco, we didn't feel it was over-priced. The staff were all very sweet and attentive - the guys in the bar remembered exactly what we liked to drink, having had…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2010,4,Comfortable and what you would expect.......,"After a long transatlantic flight the Hyatt was clean, comfortable and what you would expect. No surprises here, just all the comforts of home in the center of Casablanca. We were a bit disappointed by our view of the roof but we were too tired to care for one night. Makes for a great launch point to explore the rest of Morocco.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2011,3,Hard to relax at the Hyatt Regency Casablanca,"After choosing to ""rough it"" at a kite surfing camp, I was really looking fwd to a night in a nice western hotel.  I'd say the Hyatt  in Casablanca came up a bit short.  We made the mistake of grabbing drinks at the hotel discoteque, BlackHouse.  The bar tender picked up on the fact that we were two Americans who don't speak Arabic nor French.  1 Heineken & 1 vodka oj were €11.50 each!  To make matters worse, the bartender didn't bring our change back so the drinks endedup being €13 or $19 each!  I have a really hard time believing the 20 something locals were paying that much.  I wish we would have asked for the price prior to ordering. Tarik, the manager was quite difficult. He wouldn't comp our Internet or breakfast even though the online reservation said those things were…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2011,4,Efficient business hotel,"Have stayed here couple times in past 6 months on business. Overall very good place. Rooms are great, location central and I would definitely stay here again. Reception at airport -- had booked car-pick up on arrival at Casablanca airport but on both occasions the drivers were not waiting in the right place with their placards as everyone else was. I had to call the hotel who had to call them to find me. Check-in -- Very good and efficient. First impressions -- Very nice lobby. Tasteful. Nice bar as well. Rooms -- I had an executive floor room on both times. Very nice views of the grand mosque and the sea. Spacious rooms with comfortable bed and excellent shower. With Nespresso coffee machine and free capsules. Nice and big work desk and plenty of storage space. Executive…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 May 2011,2,Poor service and quality,"I visited the Hyatt 2 times in April and May of this year as a middle class Australian . I found the room to be very pokey and small. The service sub standard - we were ignored for 15 minutes in the lobby lounge bar area and one of the attendants even had the audacity to ask us if we were guest because he was hesitant to serve us! Every time house keeping came in they didn't knock and just threw open the door so help you if you were getting dressed or something. The gym is pointless and there are always staff in attendance which is nice but people staring at you while you are trying to work out is really awkward. The hotel was clean, location average but the restaurants served great food which was a big plus. But overall I don't recommend you stay here unless you have too.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2011,5,Excellent hotel in an excellent location,We stayed at the Hyatt Regency the night of June 16th and were very pleased overall with that hotel. True international standards and very professionnal service. Very good restaurants where we had the best oysters in Morocco! The location on the edge of the Medina was very convenient.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 June 2011,5,Central hotel with great services and staff,"Enjoyed the location, the friendness of the staff, and the cleaniness of the entire place. I particularily want to thank the concerige for attempting to locate my bag that was lost by Easyjet somewhere in either Madrid or Casablanca. (Easyjet had it they just could never figure how to get it to me (or where I could retrive it - never did get the bag after trying for 7 days before returning to the States). I do recommend that if you are visiting Casablanca that you visit the new mosque. Very interesting tour of a beautiful site of worship. If you want to say, I ate (or drank) at Ricks by all means go. Just remember there really wasn't a Rick's so you'll be visiting a reality that was really an illusion. (The food was good though:)).",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2010,5,Play it Again!,"We arrived in Casablanca from the US at sunset and went straight to the Hyatt Regency (http://casablanca.regency.hyatt.com/hyatt/hotels/index.jsp?null). We chose the hotel as a stop over to get us onto Moroccan time prior to headin out to Fes and Marrakech. The hotel was perfect. Four quick points: • The hotel appears plain on the outside, but it is incredible inside with dark hardwood features throughout. The highlight is a large Moorish dorm - carved with gold leaf. The rooms are solid - perfect bathroom for the recovering red-eye flier and solid views of the medina & Hussain II mosque. • The staff was everything that you would expect - friendly, knowledgeable, and dedicated to making your stay successful. • The location is truly convenient - in downtown Casablanca, right…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2011,5,Great Hotel for business and pleasure....excellent service!,"If you are ever in Casa on business or pleasure, make sure you stay at the Hyatt. Central, friendly, clean, loaded with techi stuff in the rooms and the food is just excellent! The rooms 7th upwards are amazing and especially that renovation is almost done. Shame that internet is paiable and this needs to be looked at, especially that the other hotels of this class offer it for free. The value (price to service) is spot on. Try the lobby bar for some great drinks, snaks and even breakfast on the go. The Louise Vuitton shop in the lobby will certainly keep the ladies happy. Comfortable beds, massive showers - all in all an excellent hotel run by some really nice staff.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 April 2011,4,"Comfortable, easy, welcoming – center of town!","The Hyatt regency is bang in the middle of everything in Casablanca. The Corniche, the old parts of town, the places to see are all minutes away. The hotel is old world warmth and charm mixed with all the amenities you might want. The Executive Room had free access to WiFi, a welcome drink at 6pm the bar (one drink, not open bar, remember). Room service is good, food was standard. Overall, good experience. Staff are very friendly and warm. Concierge is very helpful. But I did have one problem. Going back to the airport, the hotel did not have any limos available, so they arranged a taxi (cheaper) but that was one smelly, non A/C long ride. There are some really nice authentic places to eat around the neighborhood, and I had a wonderful tagine dinner just a minute away at an…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 February 2011,1,We were shunted to another hotel,"We were a party of 8 very seasoned travellers who arrived at 8.pm after a 10 hour flight. The purpose of our trip was the celebration of one of our parties' birthday. The plan was to stay just one night before moving on to Marrakech. Our first impression was poor, in that the driveway was blocked - not by neatly uniformed doormen, but by hefty thugs in black suits, so we had to walk up from the road. Despite booking and prepaying for 4 rooms, we were greeted with the news that we were being sent to another hotel of an 'equal standard', as they were completely full, and 'guests were refusing to leave'. The receptionist who imparted this news did with a huge smile, with the expectation we'd be thrilled. We weren't. Turns out that some Saudi royal was there with his…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2011,4,"swanky, comfortable, central","The Hyatt in Casablanca has everything you'd expect in a big city business hotel. The lobby is plush and large, and is a good place to meet people. The lobby is slightly gaudy, in an upscale Arab way, but that's part of its attraction. My room was comfortable, if a bit modernly non-descript. The towels were thick. The hot water came on instantly. The building itself is a rather unattractive 12-storey white concrete block on a busy square, right outside the medina and near the port. The immediate neighborhood was once the center of Casablanca, but it's now a bit shabby. It's perfectly safe to wander around, and it's full of restaurants and shops. But the business HQs and better restaurants have moved about a kilometer away to the neighborhood around the Twin Towers. If that's…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2011,5,Excellent Choice in Downtown Casablanca,"This is a recently renovated modern luxury hotel in a central location. Decent size room, very comfortable bed and chairs, large desk, excellent lighting, silent HVAC. Expensive internet and no wi-fi in the room (cable only). No tea/coffee equipment, but an electric kettle was promptly delivered upon request. Light sleepers might be bothered by traffic noise in the rooms facing the square (Moroccan drivers beep the horn a lot); rooms facing the opposite way are probably quieter. No problem checking in or out, and there is a bank ATM next to the reception desk.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 March 2011,5,Stay here- even if you go broke!,"I have only one negative thing to say-everything about this hotel is expensive. REALLY expensive. But in my experience, if you want to have American style luxury in Africa, you will have to pay for it. Casablanca is a rough city, and if at all possible, I would avoid it. I happened to fly through there, so I ended up staying a night. But given how grimy and rough that city is, I at least wanted to feel comfortable and happy. The bed- top notch. I slept like a baby. The food? Absolutely amazing. I recommend the moroccon restaurant. Get one of the Pastilles, and a tanginess. You will run up quite a bill- I spent $60 on dinner (I just drank water) and $30 on breakfast. The wifi ran me a hefty $22 a day. But then, I just wanted to leave Casablanca happy, and I did!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
