 December 2022,4,Holiday in Tanger - Awesome service,"This was our first time stay here, although I did stay at the next door Hilton once before. I must say the staff here were all Supa amazing & gave us a customer deserving treatment of note! They acted on every request and delivered even more than requested. We need to mention the staff at reception that assisted us in making other reservations for us at other hotels and arranging our tours to changing the reservations at this hotel. They made great suggestions for us & made our holiday much more value four our money. Thanks to Lubnah, Wiam & Reda for your help, much appreciated. Our friendly staff at restaurant @ breakfast for taking special care of us, you are Supa stars & have great futures in your industry. We wish you success and climbing the ladders of success in your…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 December 2016,5,Best Hotel InTangier,"The hotel is new , staff are friendly and location is superb near the mall and shops and close to the shore Hotel is new and it is the best in Tangier if compared to other in term of value of money against the sevice .",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2016,5,Have everything but you have to ask for it.,The hotel have everything but you have to ask for some things. Hair dryer and Iron you have to ask for. Nice located near the sidewalk by Mediterranean sea. Nice bufé dinner an breakfast I liked the hotel.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2016,5,Very Pleasant Stay,Hotel was conveniently close to the train station and a nice boardwalk area. Rooms very well equipped and clean. Staff were very helpful. Lounge area could be more comfortable. Some problem with taxi to Medina - we asked for a taxi and hotel arranged for a tour guide to take us. We ended up agreeing to go with the guide and we was not very good.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2016,5,Perfect !!!! best Hotel in Tangier,Everything was perfect... the room-very very clean-you will miss nothing in the room ! also TV has all programs! ...the stuff...the food amazing ! a 5***** Hotel for sure !!! very very friendly stuff... i will come back for sure.. thanks a lot for this perfect stay !!!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2016,4,Nice New Hotel - Great Location!,"We had an enjoyable one night stay at this new hotel situated near the Tanger City Center Mall (which, by the way has a great food court), within walking distance to the Corniche and other dining options. The hotel is about six months old, nicely appointed with the same toiletries you find in the States. The room was very comfy with a nice view of the water. It was personally a nice change to be in a western hotel when typically we opt for Riads. We chose this hotel since we were taking the ferry to Tarifa, Spain, and the port was literally down the street and around the corner from the hotel. We live in Rabat, so we drove and it was nice to see that the Hilton had underground parking. We took a less than 10 minute cab for about 20 dirham to the medina area to eat at Le…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,4,GREAT... BUT SOMETHING MISSING,"The hotel is brand new, just outside of the historic center of town – about 10 minutes by taxi (which is real cheap). This is what I will say: POSITIVE POINTS: Being a new hotel, everything is modern, new and up to spec with what you do expect from a brand new hotel. Everywhere I went in the hotel, it is spotless so I must commend the cleaning staff for their job. The room is a nice size, with a nice décor and with everything working flawlessly. Everything in the room was pleasant, including the bathroom. Amenities are perfect, and the shower pressure and hot/cold stability worked to perfection, allowing for a relaxing shower. The location (despite being a little out of the old center) is actually interesting. Shopping mall stuck to the side of the hotel, and a lot of good…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2016,5,My experience at the Hilton Garden Inn Tangier,"This is an excellent hotel, located in the City Center with the beach across the street, stores, additional places to eat, a new mall, walking distance to the train station and 30 minutes to the airport by taxi. The hotel staff were friendly and always making certain my room was clean and helped with my many questions. Great internet, food is delicious, although I only had breakfast due to my work. But, a great place to stay.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2016,5,Excellent Hotel Great Location,"Stayed here for 10 days and had a wonderful time getting to know the hotel, staff and services. All deserve praise from the security guards, concierge, housekeeping and restaurant staff. Despite the language mishaps and misunderstanding, each staff is willing to go beyond expectation. The rooms are new and comfortable . An amazing view of the sea welcomes you each morning. Restaurant has its own view of the sea too. Breakfast and lunch buffet gives you local and international choices. Walking distance to the mall, supermarket and train station. One can actually walk along the beachfront all the way to the city center or the old city ( medina) and the souk. Definitely will stay again here with family.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2016,5,Nice hotel excellent service,I would like to recommend this hotel to anyone Nice location excellent service nice stuff and good food and Old employees door nice to me with a big smile with open arms and they make me feel like a home,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,Nice Hotel,Great hotel and awesomesome service! I think if you connect price and service a really good experience. We just stayed one day there but I would have stayed a wholr week. I can recommend this hotel to all which would like to stay in or pass by Tanger.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,3,Business Stay,The Hotel Location is excellent. The services are from average to good. The parking needs to better managed. The rooms are very clean The Gym is good. The Tangier City Mall is just 2 minutes walk and the corniche just 5 minutes walk.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,4,Lovely Hotel,A very nice hotel in good location within walking distance to beach and a street full of nice restaurant to experience the moroccon gastronomics. I was given a free upgrade to deluxe room on 16th. Floor. The room is lovely the only two issues: 1. Very slow lifts in the hotel. 2. TV has very limited channels.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,3,Lovely hotel situated along the beach,"Nice room, shower. Restaurant not so good. Housekeeping cleaned the floor with dirty mop during breakfast service on both days while people wre having a meal. During the buffet dinner, there was no food, when it was repleshed, the quality was poor. Reception staff very friendly and helpful",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,Met Expectations,"This is my 3rd time to Morocco and first time in Tangiers and at this Hotel, stayed for one night onTuesday 4th October. Location: Located 50 yards from the shopping mall and 100 yards from the train station. We arrived from Gilbraltar via the ferry and took the taxi directly to the hotel which took about 15 - 20 minutes, nice journey through the promenade. Right next to the hotel is a bank is currency exchange shop and Mcdonalds is no more than a 5 minute walk if you fancy a snack. The shopping mall is very modern over 3 floors with the top floor having various outlets for eateries, like most shopping malls back in UK however very little branded shops. However in the evening you may wish to get a taxi (approx 20 - 30 dhm) to the Medina whiich is more lively, the taxi ride…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,Great Hotel,"Perfect facilities, location & staff. We enjoyed our stay at HGI and we will definitely stay there whenever we visit Tangier again. Hotel is very clean, located in the mountains ddle of the city, 10 dhm taxi to old madina and 2 mins walking to Cornich.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,Excellent experience,"I recommand this hotel because of its excellent location, and beautiful beach view. Its staff is very professionnel and helpful. A high quality service and a richly varied breakfast buffet. Also, confortable and spaceful rooms.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,4,Excellent Location,"This hotel is in very good location, close to Tangier Mall and the Train Station, Tangier Beach and a lots of restaurants just with in the walking distance. Mr Mahdi at the Front Office was very helpful and friendly. Unlike the host at the grill restaurant by the name Oumaima. She is dishonest and can't be trusted stay away from her and don't let her recommend anything for you. Specially the taxis she works with taxis driver and she take commission from them.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,Very nice hotel,"The hotel is in a great location in front of the train station , near the sea and beside the only shopping mall in Tanger . A very clean hotel , the stuff was helpful and the room service was very good ... Would definitely choose it if I visit Tanger again .",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,Excellent hotel for an excellent price,"Wonderful, clean and modern hotel in the center of the city. Very friendly staff. Particularly wanted to mention the receptionist Hajar who was excellent and took really good care of us. She also set up with a tour guide (Abdul) from IRT tours. it was an excellent idea and a great tour. Abdul was friendly, spoke excellent English and took us to all the worthy sites in Tangier for about 4 hours. Highly recommended.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,4,Very modern in a safe area,"The hotel is very modern however the walls are thin. The staff is very polite but seem to still be learning the business or I asked odd questions. The location is great if you want new Tangier but a distance from the old part of town, which is a must see.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,"New, modern under good management","This hotel is newly open so everything looks good. We booked a suite, it's clean, spacious, comfortable and has a great view over the sea. Good breakfast buffet. The staff is polite and helpful. Free and fast wi-fi, there are also some desktops in the business center, which is also free to access. The only miss is that the carpet in font of the elevators doesn't look clean. Hopefully they can do something with it.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,4,great experience,"i've never thought about reviewing a hotel before but after my short stay at the Hilton Garden Inn Tanger City Center i think that it would be very useful for other travelers to just know how gorgeous this hotel is. My husband and i spent 2 nights at the garden and we loved it. The room was very clean, the bed was very comfortable, and above all, the view was stunning! Chek-in and check-out went very smooth; the receptionists were professional and very welcoming. Another thing that i loved about Hilton Garden inn is the breakfast, (very yummy) and the waiters were very friendly. If you are planning your next trip to Tangier, Hilton Garden Inn is definitely the place to be!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,Amazing new hotel,"Stayed there for the first and last night during a short leisure trip in Morocco. Not a typical Garden Inn, feels like a 4 star luxury Hilton. The building is stylish and brand new with excellent transport links. Good combination of contemporary and Moroccan style. Check in was faultless. We received a complimentary sea view upgrade as Hilton Honors members. Reception was very helpful and kind every time we approached them. Special thank you to Atef, front office manager, Hafsa and Jaquad. Our room was spacious, bright with a stunning view from the 14th floor. Breakfast has wide selection of delicious items. I strongly recommend to try the Moroccan specialities for lunch or dinner. My girlfriend tried lamb with apricot and prunes while I had chicken with olives and pickled…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,4,Good hotel for business trip,"Located not far from the seaside. Completely new. Rooms equipped properly (however no windows in the rooms. Therefore, not recommended if you are clostrophobic). Breakfast buffet is great. Staff lack experience though.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,1,"Thank you, never again","This is my first ever review of a hotel as I normally don't bother. On this occasion I feel compelled. I travel to Tangiers every six weeks through business and stay at an array of hotels dependent on pricing. I shall never stay at this subpar brand of a Hotel again. Room - My Suite, not room was not serviced until 3pm despite leaving at 8am, cause - they are busy, Room - Not cleaned correctly, and took 4 attempts to do so, Food - My 4 year old son could cook French fries better Hygiene - After constant complaints about mosquitos in the bar area housekeeping came and sprayed for 2 seconds, not resolved Front Desk - No idea what they are doing as each look to each other. Ops Mgr - Very helpful, complimentary wine sent to room and dinner comped. My favorite - Moving the…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2016,5,Personal,"This a new hotel in Tangier which is a very nice costal city across from Spain, the location, price, services are great, rooms are very clean. I use the Gym, which is very lemited in Equeoments ad whights , but it was also clean. Next to the hotel is a new Mall, and to the other side is a Macdonald .,which has a rather nice location for coffee or lunch.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,5,Recommended,"Comfortable, clean, good location, very helpful staff, The bar is good, breakfast food needs slights improvements. but over all one of the best hotels in the town. Location is next to the only shopping mail in town,",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,5,Great place,"Super clean hotel in nice & safe area. Great place for a family or business travel. Great service,variety of local foods, prime location & friendly employees. I will definitely recommend this hotel for a short visit or an extended stay.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,5,Great experience,"very nice hotel, excellent location, extremely friendly staff. Located right next door to the mall and few steps away from the main train station. currency exchange also right next door. Extremely friendly and helpful staff. Would definitely recommend it for either buisiness or vacation.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,4,Good Hotel,"Hilton Garden Hotel is new hotel just open six months ago, it s a big hotel well located in down town, tanger city mall is less than 100m ( 2 min walk) train station about 5 min walk , Mc donalds is 1 min walk. Check in was fast with big smile , Rooms are little small but clean , some rooms are see View which is perfect . breakfast are good but not perfect can be better. Location of the hotel is really perfect",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,1,STAY AWAY!,"I do not like to write negative reviews , however in this case I felt it necessary. I booked this room four months prior to our trip from the USA.I planned to stay 2 nights at the hotel. I am a diamond member and travel rather extensively. Sometimes people complain when things happen that are beyond the hotels control -I don't. The hotel must remember that no matter where its location, it is still an American corporation with loyal members-both male and female. I called several times to confirm the upper floor corner room with full ocean view. The hotel confirmed. Furthermore, up to a week before arrival the hotel seemed to be pretty vacant and each time i called the hotel to make sure all was in order, I was assured that it was 3 days before the trip i had an unexpected…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,4,Good Value with Predictable Standards,"We were quite pleased with this hotel for are brief stay in Tangier. It was worthwhile paying for a water view room...a nice view into the bay. The breakfast buffet was excellent. our only complaint was that a number of typical amenities were missing from our room (e.g. robes, iron, hair dryer). The dryer was delivered upon request, though.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,5,it is one of the best hotels in Tangier,"The hotel is very comfortable , the staff r great specially ( Sara + Hafsa + Jawad ) and the front office manager ( Atif ) .Also they helped me and contact a transport agency to let me have tours in and around Tangier with good rates . The location is very good . a mall and a train station is nearby and the Cornish is only 2 minutes walking ..the old city of Tangier is 10 minutes drive ..I enjoyed staying in this hotel",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,5,was wonderful,"staff was great professional and very kind, room wonderful, the food was tasty and fantastic, view beautiful , location great near restaurants shops, room clean big and comfortable. I definitely will came back and recommend it to my family and friends.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2016,5,Good hotel. Good location.,"Good Hotel : This is a new hotel so the rooms are modern and spotless. We had the room in the corner next to the gym and it was really very spacious. Comfortable king sized bed. Good Location : This hotel is near the corniche and is adjacent to a new mall that has opened in the center of Tanger, which makes it very convenient as you can easily pass the time walking around the mall. You can catch a movie at the theaters, get a bite to eat at the food hall, and buy a little something from the supermarket downstairs. Cons: I would say that parking could be an issue once the hotel is full because we had a hard time finding space in front of the hotel a couple of times during our stay. I could be wrong but I'm not aware of any other dedicated parking spaces.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2016,5,New Brand Hotel,"In the heart of Tangier Very clean hotel. Parking in basement available. Security. Very clean rooms. Front desk staff more than great, specially Mr atef , while checking out and after 4 hrs travelling to marakish I remembered that I forgot to take passport in safety box!! Atef kept room occupied for another 4 hours until we came back to open the safety box and took our things... Many many thank Atef. I highly recommend this property.. However, I didn't like when security staff in basement followed me to remind me that he is the one that helped taking my luggage to alovator to give tips!!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,5,Excellent hotel& great location,"We stayed recently in this hotel, the reception staff were really nice, friendly, helpful and welcoming all throughout our stay. Restaurant and breakfast staff went the extra mile in terms of being attentive and polite during our stay. We had a delicious breakfast and dinner. Housekeeping staff were brilliant and exceed all expectations from Hilton standard. We were in Room 428 with a sea view which was very spacious and comfortable. I highly recommend this hotel, it is in a great location, very close to the train station and only a few meters from the beach. Samira",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,5,Excellent experience.,"I've stayed with kids many times in this hotel, clean, relax and good customer service. The staff very polite, especially the breakfast personnel, they are very helpful and well trained. I struggled to use the safe and asked for help, in no time somebody came and teach us how to use it. Definitely I recommend this hotel.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,5,Best in Tangier,"We enjoyed our stay in Hilton Garden Inn. Everything went well since we checked in. The location is perfect, the staff are very friendly and helpful, the rooms are clean and comfortable. We definitely will be back here again",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,1,TOO POOR,"breakfast and launch staff come always ask us, i don t like staff come to see us what we need every seconds its too bad really, and also in breakfast when we have a buffet they want to serve us but, we really need to serve our self and we want to eat what we want.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,5,Good choice,The Hotel Location is very good .. you'll be near to the beach .. Near to the only Mall in Tanager & you have many choices of restaurants and coffee shops nearby. The hotel Restaurant has a little choices in their menu .. they Staff friendly ..,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,2,Not Hilton worthy,"Booked a seaview room 3 months before arrival for 10 days and there were no seaview rooms available at check-in because the Saudi guest had priority. Although it is a non-smoking hotel the bathroom was not. Also, the room gets cleaned after 6PM. As a Hilton Honnor Diamond member I felt very disappointed because I have sent my compliant to the hotel by email and they never responded. The breakfast and location of the hotel are excellent.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,My second excellent stay!,"I have stayed for the second time in Hilton Garden Inn Tangier and as usual the service was really excellent... The rooms were clean, the breakfast is a real pleasure, the staff are helping with style and smile... I would like to take the opportutity to congratulate the Hilton team for this excellence and also to thank them for their care during my stay with my little family. Special thanks to Tarek and Mehdi for being here to satisfy every need that we had during our stay. I wish I can be back theresoon. Karim",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,The Nicest Around,The room at the Hilton in Tangier was Outstanding. When we walked in I thought I was in a Palace! Well appointed and lovely suite. Folks and staff couldn't have been more helpful! Good dinners and breakfasts right in the hotel too! Hilton never lets me down!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,3,Not Great,"Despite being informed that the check in started at 9am and booking our stay based on thatl, when arriving we were told that it was impossible to check in before 2pm rather rudely which resulted in a 5 hour wait in the reception. When we were given our rooms, one of them was not ready since the extra bed ordered wasn't set and the bathroom was not stocked for the 3 people staying there. However, the location is great and the breakfast is also good.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,Excellent high-end new hotel,"New, modern hotel. Excellent location near the beach, shopping malls and restaurants. Not all the rooms have water view. So if you want the view better check it during the reservation. The main restaurant is very nice and food is good.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,4,"Tangier business trip, excellent choice to stay","Hilton Garden Inn in Tangier is a brand new hotel, really nice location, near de beach and all the restaurants, excellent for a run or walk around the sea front. Very modern and well equipped, friendly and efficient staff and very good breakfast. Really a good option to stay",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,Excellent Tangier Hotel!,"Incredibly comfortable hotel right in the heart of the city, only 2 blocks away from the Train Station. This hotel is near the beach, and offers plush 4-star service. We felt incredibly safe, welcomed, and comfortable here. Their dinner buffet was the highlight of our trip to Morocco. We feasted for over 2 hours, trying all of the local dishes. It was an incredible experience and we will never forget our time here!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,Nice Hotel,"+ New and well maintained hotel + Service is good but could improve (normal with new hotel and staff) + Food is wonderful and excellent. Much better and a variety of choice than what you get in the US. + Rooms are nice. Partial ocean view was great from the 7th floor and up + Though the hotel is a stone throw from the ocean front, if does not have balconies (unfortunately. Big ouch for such a beautiful city and view) + Stay was great",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,Best Hotel In Tanger,Perfect Stay with friendly staff and a big simle good location and the breakfast was very Good with many moroccan items and the room also was good with a perfect view and clean i will try to stay in tanger again for the next time,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,Perfect Hotel,"Perfect Hotel, Friendly staff, Free parking, Comfortable beds, beautiful smell throughout the building. The room service food was acceptable. great location, right on the sea front, Definatley willl be visiting this place again.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,5,Hilton top off the pops,Not been to tengire for ten years what a change old town to the new Town best off both worlds now and in the hart off the new Town you have the hilton garden Inn 5 star only 18 months old rooms are so clean and fresh and the same for the rest off the hotel staff so friendly and helpful.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2016,5,Good value hotel,"Newly open (March 2016), large and well-equiped (including room shoes!) rooms, nice staff and awesome food (greate taset and huge variety). Great value for this price! 100m from the seashore, Medina within walking distance.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2016,5,"New hotel with great service, with a few concerns","We recently stayed at this hotel. It has only been open a few months. Everything is new, nice and clean. The hotel staff was very friendly. The room was very nice. The beds were very comfortable and everything was in perfect condition. To my surprise the internet was very fast and reliable - not something I see at many hotels! The hotel is right next to a new mall, which is also very nice. The mall also has a grocery store if you need to have any supplies during your stay. We felt very safe and secure at this property. The seaview room was not some hyped marketing...we had an awesome view! Our only negative was that outside the hotel there is strong sewer odor. There is substantial construction going on in this area of Tangier and it may be related to that, but the…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2016,4,good range of hotel,"Good reception, good bar, good breakfast, no noise, room was clean but small details like WC seat not well fixed, flow of water from the shower was small . All the area arround the hotel is under construction, so seight seeing is not so beautifull",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2016,5,Beautiful place in brand new hotel,"Perfect place to stay in tangier city, beach front view, top class hotel, super friendly staff at the reception ( + got a suite upgrade) and breakfast was one of the best. Great variety of nuts, fruits, sweets :) and beach view as well enjoy the stay there",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
