 October 2022,5,"Amazing riad, a must when visiting Morocco","There are no words to describe this amazing riad, or better say magical castle! It is incredibly decorated, both in the common spaces and the rooms. The food is authentic and you can not imagine how delicious it is, both breakfast and dinner! But above all is the warm hospitality that will truly make you feel like you are with family. I highly recommend staying here. There are the cinema studios near by that will make for a great attraction. I know I will be back!!!",hotelName,city
 April 2011,4,"Beautiful place, an oasis, with fantastic food","Make sure you look it up on the map before you go, but once the door opens you find yourself in an oasis with the beautiful internal courtyard full of shrubs flowers and trees. We ate late on the terrace and had a fantastic view across the flats of Oarzazate with the snow capped peaks of the Atlas as backdrop - breathtaking. The food was amongst the best we had in Morocco with lots of vegetable accompaniments to the main dishes which was welcome. Inside, the Riad is homely and attractive - even has a small library. Only downside was one of the rooms was a bit small with no external light - however the other one, a suite, was large and really lovely. We also noticed that some presumably disgruntled employees/union members were staging a sleep-in protest outside the Riad - we…",Dar_Daif,Ouarzazate
 September 2010,3,Not again for me.. but read why.,"We checked into the main hotel and they took us through the beautiful main hotel. Then out the back door, down the alley way to the crappy 2nd hotel. It was bad! We had to move rooms due to bugs. They were not at all friendly here. They messed up massage and bath arrangements and didn't care. We had to carry our luggage up and down the stairs too. I might stay here again if I got to stay in the main hotel it really did look nice. The view from the rooftop patio was beautiful.",Dar_Daif,Ouarzazate
 October 2010,5,Respect for people and earth,"Want to be in a super comfortable and supermorocco hotel? Take this one. I have so much respect for the owners. They made this place so beautiful - all the colours and softness of the tapisseries, les babouches they offer to you...Do you know they have in permanent service 51 persons? That means 51 families having a salary....Do you know your food comes right from the local market? Come here and a dream becomes true PS I was not paid for this article :)",Dar_Daif,Ouarzazate
 December 2010,4,"Excellent service, characterful hotel.","We stayed 2 nights this December in the small bedroom, which was very good value. The location is slightly out of town down a long road, which was fine even with a small car. It was v peaceful. There was wifi, and a swimming pool which would be nice in the summer. The compulsory dinner was nice, but not the best value at 210dh each per night. Overall, the staff were very helpful and I'd recommend it for a quiet stay outside Ouazazate.",Dar_Daif,Ouarzazate
 October 2010,4,Good riad experience,Stayed at this riad for one night in October 2010. A long way out of the centre of Ouarzazate but well signposted from the N9 and not difficult to find. Parking was on the street outside the riad and we had no problems in this respect. Free wi fi available in the courtyard where there was a nice sitting out area and a small attractive pool. The old building hasbeen beautifully restored and is full of oriental carpets and bric a brac and had lots of narrow passages and terraces with views over to the lake which were lovely in the morning sunlight. Everything a nice riad should be. We liked the nice touch like the welcoming tea and cakes and the fact that although dinner is obligatory this was waived due to our late arrival. Breakfast was fairly standard and served on traditional…,Dar_Daif,Ouarzazate
 September 2010,5,A genuine delight,"It is good advice to ignore the very amazing and very poor hotel reviews - I hope however that you will not ignore the great reviews of Kasbah Dar Daif. We started our short tour of Morocco with two nights at Dar Daif and are so thankful that we did. We arrived quite late in the evening to a warm welcome and were able to order a meal. We ate breakfast and dinner twice at the riad and the food was always delicious. We did not encounter tajines like it anywhere else in Morocco - the food was not heavy and greasy but still tasty, delicious and tender. The Riad is decked out in local rugs and brassware. Its the sort of look people try to replicate in their homes - and never quite pull it off - well here it works and feels natural. We were there at the end of summer and it was…",Dar_Daif,Ouarzazate
 July 2009,4,Excellent service and helpful owner!,"My boyfriend and I spent 2 nights at Dar Daif and we really enjoyed the best service we had in our 2 weeks trip in Morocco: they provided us large bottles of fresh mineral water several times during the day and fresh fruit and nuts in our room, they helped us parking our car in front of the hotel and washed our car during the night, the swimming pool is clean and nice and available at all times (also in the late evening). Dinner was compulsory to us (it could be a good thing because of the distance from the town center ---- which is not particularly worth of visiting during the evening, in addition), but we found it good, and breakfast is copious and tasty. You can have your meals wherever you want: in the garden, in the inside restaurant, in the terrace, also in your room with…",Dar_Daif,Ouarzazate
 May 2009,5,what a view!,One night only but beautiful place. Had our own terrace with amazing views. Food was good. Good Hammam also.,Dar_Daif,Ouarzazate
 September 2008,4,Good accomodation & food,Unusual riad with cool decor although some of the rooms are a little dark. Has a good pool area & a rooftop. Meals were great & staff were v accomodating. They don't have alcohol so stock up in the little supermarket in town.,Dar_Daif,Ouarzazate
 February 2008,5,Great Riad,"I really my stay in Dar Daïf: it was my first stay in Morocco when in I landed in Ouarzazate, and I have been enchanted with the warm welcome I got in Dar Daïf. The service is indeed very good, and you will quickly forget of the daily problems n Europe or the US when enjoying a panoramic view on the Atlas Moutains with a cup Mint Tee in your hands and other Moroccan treats. This B&B is a large restored Ksar, with a pool in the patio, but also a fantastic hammam. Meals are great and generous after a day of visit n Aït Benhadou or the Valley of the Roses. Finally, the housekeepers, a french-moroccan couple, are extremely helpful and can advise you for organizing a round trip to Merzouga and Zagora.",Dar_Daif,Ouarzazate
 September 2007,5,"One night only, but a great stay","We arrived at Dar Daif without a reservation and were greeted by the friendly staff, who showed us the 3 available rooms. The hotel is unique in that it is in a restored Kasbah, with the layout being a maze of different sized rooms, all decorated differently in the traditional berber style. Once we'd settled in, we were offered tea on the terrace, and also our choice of locations around the hotel to have dinner later in the evening. We chose a spot on a small balcony overlooking the gardens and pool -- the meal was excellent. When it came time to check out the following morning, we found that the hotel had given our hire car a wash....a very unexpected, but welcome touch (driving in the desert is very dusty!). I wouldn't hesitate to recommend this property to anyone…",Dar_Daif,Ouarzazate
 April 2007,5,Really enjoyed our stay,"I stayed here one night during a cycling tour, so I hadn't chosen the hotel myself but thought it was great. We stayed in the triple room on the ground floor, which appeared to have good facilities for wheelchair users. The hamman was a little more invigorating than I would have chosen myself, but it was still good, and those in the group who had the massage said that was fantastic. We also had an excellent dinner.",Dar_Daif,Ouarzazate
