 December 2022,5,The best of both worlds!,"My family of 5 loved La Maison Arabe! It was a perfect home base for us in Marrekesh for 4 days. We had a deluxe room and a standard suite for our 3 kids (older teenagers). Both rooms were lovely. The suite was especially nice because the 3rd bed was in its own little niche so it wasn't so crowded in the main space. Rooms were good-sized and clean. Beds were very comfortable with soft sheets. Bathroom was nice - clean, spacious and good products with fluffy towels. I have read a few comments about the hot water - we had no problem at all. Plenty of hot water and good water pressure (weak water pressure is a pet peeve of mine). The hotel itself is very unique & charming, with lots of different areas to explore. The bar was old-school with dim lights and dark furniture. We…",hotelName,city
 March 2014,5,Magical Oasis in Marakech,"We loved this hotel! The staff was amazing, the interior architecture and interior design was beautiful. Authentic Morocco with all the comforts of good bedding and wonderful baths. The poolside restaurant was delicious - staff was wonderful about our early departure and provided breakfast for us. Loved it!",La_Maison_Arabe,Marrakech
 February 2014,5,A Hidden Treasure in the Heart of the Medina,"We had arranged for a taxi to pick us up at the airport and take us straight to the Riad. It dropped us at the end of an alleyway, and we wondered what we were in for! As we were later to find out, the Riad, as with many other buildings in Marrakech, revealed behind the walls was a superb hidden oasis! We were warmly welcomed by the manager, and because we were a little early for check in, were treated to refreshments in one of the lovely courtyards. We were shown around the entire Riad and then to our room, which had a balcony, overlooking the pool and outdoor restaurant. The room was perfect, clean and welcoming. Plenty of room, with the bathroom more than adequate. All the of the staff couldn't have been more friendly or helpful. they gave us advise on sightseeing and…",La_Maison_Arabe,Marrakech
 February 2014,5,Great stay - again,"This was our third stay at La Maison Arabe, and once again the beauty of the place and the quality of the staff continue to impress. All the other reviewers who praise this hotel rightly identify what it is that makes people love it. It truly is an oasis in the chaos of Marrakech and there isn't anything the staff won't reasonably do to make your stay more comfortable. They really are terrific. The management have made a couple of changes that we personally didn't like to do with the patio area, where they have constructed private verandahs which now occupy the space where a lovely little patio existed previously and we didn't think the menu in the Trois Saveurs restaurant was as varied as it could have been. That said, the food was excellent and the hotel's country club garden…",La_Maison_Arabe,Marrakech
 May 2013,5,Adil is amazing,"I know I am late to comment but all I can say is wow. We were greeted and taken care of by a great Guy Adil. His customer service is impeccable. He had a smile at all time. He did his best to accommodate us. The riad was in the old medina and we were going to go for palais de congress but after My husband and I and the kids met Adil we changed our mind. He took the time to give us a tour and also to explain every little detail about the riad from the artwork to the wood work. We were so thrilled that we cancelled our reservation to stay here. We were not disappointed, he kept checking on us and even the kids loved him My Julie and Elias kept asking where is uncle Adil. My hubby was hesitant in the beginning but once he saw that Adil kept his great service he made sure…",La_Maison_Arabe,Marrakech
 February 2014,5,Hidden Gem in the Medina,"Don't be put off by the approach from the road! This is a truly gorgeous character hotel in a great central location in the Medina, which gave us the flavour of Marrakech we wanted, combined with making life easy for us as first time visitors so that we explored and did all we wanted to do without feeling that we had been ripped off. From our welcoming and very personal check-in while sat on sofas, enjoying the peace and beauty of one of the many candlelit courtyards with free welcome drinks after the busy and hot wait to go through Passport Control at the airport, the staff generally were excellent and very kind. The excellent staff at reception got to know us personally very quickly and were particularly helpful - they responded to every request with immediate attention, and…",La_Maison_Arabe,Marrakech
 February 2014,5,Don't Hesitate to Book - Exceptional!,"From start to finish our 2 night stay was perfect. We had an airport pick up which I would recommend, then we were welcomed by all the staff and whisked off for a delicious welcome cocktail - Virgin mojito I think - prepared by Rachid the talented head barman. Our pool view suite - Nars - was spacious and beautifully appointed. Wifi was brilliant. Breakfast round the pool was so pleasant. The fresh juices are delicious and really recommend the Moroccan ""pancake"". Enjoyed drinks in the jazz bar before dinner in the Moroccan restaurant which was a real highlight. We were lucky enough to enjoy some lovely weather and spent a very pleasant afternoon on the sun terrace dipping in and out of the heated pool. Nothing was too much trouble during our stay and I would go back in…",La_Maison_Arabe,Marrakech
 February 2014,4,Away from the English winter!,"A delightful and architecturally interesting riad in a good location in the Marrakech medina. Very comfortable, varied menus with good food, and very helpful and friendly staff. Log fires in public rooms on cool evenings were very cheerful.",La_Maison_Arabe,Marrakech
 February 2014,5,A gem in Marrakech!,"We had an amazing stay in La Maison Arabe. Excellent location, just at the gate of Medina and walking distance to major sights and restaurants, so after soaking up the city, we can quickly walk back to the hotel/riad and freshen up. For me, the hotel gives even more Moroccan feeling than outside on the streets. The interior is authentically and beautifully decorated, doors and drawers in real leather, rooms are very cozy, and overall the hotel exudes elegance. Most importantly, the staff and service are tip top! They anticipate your every needs, from making up rooms EVERYTIME you go out, to organizing excursions or even just taxi services. The in-house cooking workshop was also nice, especially the chef/dada. I highly recommend staying in this hotel and we'll certainly be back.",La_Maison_Arabe,Marrakech
 February 2014,5,A Very Memorable Anniversary at a Stunning Hotel!,"Our stay at La Maison Arabe was faultless, the hotel arranged for a driver to meet us at the airport, which is only 20 mins away. It was our first time to Morocco, The hotel is beautiful, it was our anniversary and the manager kindly upgraded the room, the room was spacious with a very nice bathroom & small outside area to sit. We booked the cookery class, I feel this is a must do, it was so much fun & we learnt so much about Moroccan cuisine. The hotel is situated within easy walking distance for Koutoubia Mosque & Jemaa el Fna, we also visited the stunning Majorelle Gardens. We found the hotel very relaxing The Jazz Bar is great of an evening, asked Rashid to make one of his lemon specials. We went to the Moroccan restaurant in the hotel serving very authentic cuisine, which…",La_Maison_Arabe,Marrakech
 February 2014,5,Wonderful short break in Marrakech,We stayed at La Maison Arabe for a short break from 12 Feb 2014 to 15 Feb 2014. We had booked a deluxe suite with a patio and were kindly upgraded to the Royal Suite (227) by the manager upon our arrival. The room was spledid with a private terrace and whirlpool tub which allowed us to relax in solitude and enjoy the sun for a few hours each afternoon after walking through the medina. The location was perfect - not too far from everything but quiet and tranquil within the walls and courtyard of the property. The food at the two restaurants was of very good standard and the staff were always attentive and accommodating. The restaurant recommendations were very good as well. Thank you La Maison Arabe for a wonderful holiday. We hope to be back again next year!,La_Maison_Arabe,Marrakech
 February 2014,5,Luxurious!,"Absolutely everything we encountered at Arabe was first-rate. Absolutely gorgeous, very relaxing; the service in every aspect was superb from front of desk to restaurant. And speaking of restaurants, the food was fantastic. Best yogurt ever for breakfast, delicious tea service in the afternoon (welcome after a day of walking the souks), and the international restaurant was outstanding. Can't recommend it highly enough!",La_Maison_Arabe,Marrakech
 February 2014,4,Nice boutique hotel,The hotel is very good. The decoration is great. The hotel is made of a few adjacent houses and is full of character. The rooms are beautiful. A place with character and in the middle of the Medina. We had a good time in this hotel.,La_Maison_Arabe,Marrakech
 February 2014,5,Exceptional in every respect,We were in Marrakech for the celebration of a friends birthday and were truly impressed by La Maison Arabe. Marrakech has no shortage of upscale hotels but it will be hard to topple the experience of this small Riad. From welcome drink to check-out we could not find any fault in this magic place inside the walls of the medina. There are many well appointed public spaces to relax and forget the outside world. The food was great and the breakfast buffet extensive but the best was the staff dedicated to service with a smile. Our spacious suite overlooked the pool and our bed was adorned with rose petals upon our arrival. All in all it was one of the best hotel stays we had anywhere.,La_Maison_Arabe,Marrakech
 February 2014,5,Fantastic restaurant,"Excellent food, wonderful ambiance and fantastic service . We were extremely well looked after. The waiters were very helpful and nothing was too much trouble.Can't rate it highly enough. A wonderful find.",La_Maison_Arabe,Marrakech
 January 2014,5,One of the best places I've ever stayed!,"This was our last stay on our Morocco trip, and what a wonderful way to end the trip. Everything from our room to the service to the food were beyond fault. We stayed in the Noor Suite, which was huge with two terraces. The room was absolutely lovely. We could not have been more impressed with the breakfasts, which had an array of options to choose from. What I loved most was the woman who made crepes to order with various ingredients. Those were SO amazing. We were here for New Year’s Eve and loved the party they organized, with a tasting menu/wine pairings and lots of traditional musicians. At midnight the entire staff came out to the patio with drums, singing and chanting. It was special to be a part of their celebration. The service was superlative. They provided us with…",La_Maison_Arabe,Marrakech
 January 2014,5,An amazing experience!,"La Maison Arabe is situated just inside the old city wall and so is a fantastic location to see the old delights of Marrakech and the new city. From the time we arrived to the time we left the staff were welcoming, helpful and nothing was too much trouble. The service was truly excellent! The hotel itself was exquisite- clearly a lot of thought and care had gone into creating this beautiful traditional Riad. The food and service in the two restaurants was also second to none. If you want to spend time in luxurious surrounding with excellent service, eat great food and drink good wine and pamper yourself in the beautifully appointed hammam, La Maison Arabe is the place to go. We will definitely be going back later this year. It was an amazing experience!",La_Maison_Arabe,Marrakech
 February 2014,5,A hidden gem,"We were recommended the restaurant of La Maison Arabe by a fellow guest at our Riad and we were not disappointed. Although we weren't staying here we could see how well appointed the hotel was, and we were treated like honoured guests just coming for a meal. The choice on the menu was excellent as it took into account people weary of tagines and brochettes, and the little lights given to help read the menus were a nice touch, as the restaurant is quite dark. That is not a complaint by the way - the ambience is delightful. Just keep in mind though that this is going to be more expensive than street food in Jemaa El-Fnaa. Attentive services with excellent food and wine and beautiful surroundings made our evening here a delight. Highly recommended.",La_Maison_Arabe,Marrakech
 January 2014,5,Unbelievably Good Service -- Sets the Bar,"I had the distinct pleasure of staying at La Maison Arabe and spending a few days with enjoying the service. If I good give a place a sixth star I would, their service makes me want to go back and reevaluate all my prior reviews. I arranged for transfer from the airport, and was met promptly by my driver. The hotel entrance is located on a quiet little allyway a short walk from the road. On arrival, I was treated to mint tea and allowed to relax in the salon while they dealt with my paperwork/passport. There was a fire going in the salon and it really felt like I had just come home. There are two adjoining salons, one done in traditional decorations, which I really liked, and a modern one. I then received a wonderful tour of the hotel from one of the front desk…",La_Maison_Arabe,Marrakech
 February 2014,5,Best hotel I have ever stayed in...,"I cannot fully express how incredible this hotel is! I stayed for 3 nights with my girlfriend and we both found it very difficult to leave. La Maison Arabe is truly a magical and surreal place. While the amenities, decor etc... were top notch what stood out to the both of us was the staff. They were the friendliest most helpful group of people I have ever been around. They truly seem to derive happiness from serving their guests.",La_Maison_Arabe,Marrakech
 February 2014,5,the best in marrakech,"Have just spent 8 idyllic days at La Maison Arabe, a most beautiful riad in the Medina. The service was so friendly and superb, both restaurants serve wonderful food, both Moroccan and international. The public rooms and the bedrooms are beautifully decorated in gorgeous colours, We will return next year and can't wait to enjoy it all again.",La_Maison_Arabe,Marrakech
 January 2014,5,A haven,"Just returned from a short break to Morocco, made perfect by our stay in this great hotel. The atmosphere is warm and friendly and our suite was lovely with its little private courtyard. The staff are wonderful, food is delicious, and the location ideal for exploring Marrakech. On our first day, my husband opted for the souks while I had one of the best massages I've ever had. He returned slightly frazzled, to find me in a blissed out glow, and immediately booked a hammam treatment for himself! Our only regret is that we didn't stay longer.",La_Maison_Arabe,Marrakech
 January 2014,5,WOW!!,"I booked this hotel as a birthday gift for my husband, he's a bit of a hotel snob so was worried about his reaction on arrival. Well, in his own words ""This is the best hotel I have stayed in!"". A short walk up an alleyway leads to this amazing hotel, once through the door you are greeted by the friendliest staff we have come across. This hotel really is stuff dream are made of, the food is amazing which is backed up by the supreme service (Michelin star quality); the room we stayed in was a touch of Morocco, the feel and comfort was unsurpassed; the Hammam & Massage was the best and to top it of the location was perfect. They also went out of there way to help me arrange multiple surprises for my husband and make the holiday perfect which it was. If you stay in Marrakech…",La_Maison_Arabe,Marrakech
 January 2014,5,Outstanding hotel,"This hotel has the best service you could expect to find of any top class hotel anywhere in the world. It is beautifully decorated with very comfortable rooms, excellent hospitality, and 2 very good restaurants. The staff go more than the extra mile to make your stay welcoming and memorable. Would definitely stay there again despite not having tried other hotels in that city, I would just not bother investigating other hotels.",La_Maison_Arabe,Marrakech
 January 2014,5,Highly Recommended!!,"Really lovely hotel, interesting decor, super attentive staff and wonderful service. Stayed in a suite. Rooms are of a decent size. Bathrooms are spacious, water pressure was decent, though the shower heads look a little aged. Room service was amazing, you can basically order whatever you want from the restaurant menu and have it served to your room. As for breakfast, like dinner, you can order anything that they serve at the breakfast buffet to your room if you prefer the privacy. The hammam and massage treatments were pretty good too. Location wise, the hotel is around 10-15 minutes walk (depending on your walking speed) to most of the attractions - square, gardens etc... Service was really good, late checkout was provided in another room nearby Overall, this hotel is highly…",La_Maison_Arabe,Marrakech
 January 2014,5,Fantastic,"We stayed for a week in January, knowing the sun wouldn't be guaranteed at this time of year. What a fabulous hotel! Technically a riad, but not like any other I've stayed in. The buildings are beautiful, well kept with fires in the many open fireplaces throughout the place when it's chilly outside. 5 houses originally, now combined incredibly well into the Maison Arabe, Some real history here too. Rooms traditionally decorated with some very nice unique if maybe, quirky features. Room was plenty warm enough on the cold nights. Magnificent bed looking up into a vaulted, domed roof. Super bathroom with excellent shower. Breakfasts as good as any I've ever experienced, from dates, figs & preserved pears through eggs cooked anyway you want them in front of you, sausages, home made…",La_Maison_Arabe,Marrakech
 January 2014,5,Beautiful hotel tucked away in a side street in Marrakech. Amazing service and great good.,"Highly recommend this place. From the moment we walked in the staff was friendly, attentive and helpful. You are greeted with Moroccan mint tea in their beautiful lounge that has a fire place. The room we were in was perfect. It was a little small but it had everything we needed. We took the cooking class as well and it is a must.",La_Maison_Arabe,Marrakech
 January 2014,5,An amazing experience,"What a place! An authentic riad ""the first one in Marrakech "" where from the door step of the entrance you feel like a home away from home. The labyrinth concept makes you enjoy every corner of this axing house. Every piece, painting, furniture is just well thought! The staff are so friendly with great attitude that you are so well looked after and in the same time you are not disturbed and they respect your privacy and intimacy. The interaction between the staff, reflect the perfect harmony of this house. Food is wow and always a new touch makes you come back! The must for my wife is for sure the ""cooking class"" where you are welcomed by both Wafaa and chef Fatiha who takes you on a culinary trip full of senses! Definitely something to try while staying in this house or in…",La_Maison_Arabe,Marrakech
 January 2014,5,a wonderful and relaxing stay,"the place is beautifully decorated, the experience in the restaurants and spa is wonderful, staff is adorable and very caring.... our dream is to come back at least once a year, inch'Allah ! I do recommend you La Maison Arabe.",La_Maison_Arabe,Marrakech
 January 2014,5,A very homy riad,"Staying at La Maison Arabe is truly an amazing experience. The service was superb, the atmosphere was unique. Each and every piece of the decoration is carefully selected and placed which, shows owner's grate taste of art. It is a place where we wanted to live in, were it feels so home. In the La Maison Arab, food is out of this world, it was one of the best we've ever had. Moreover, the spa and the hammam's atmosphere takes you to a different world as well as the professionals there. We had the pleasure of meeting the owner who was so friendly and inviting. We will definitely recommend the riad to our friends and family next time they are in Marrakesh.",La_Maison_Arabe,Marrakech
 January 2014,5,SUPERB IN ALL RESPECTS,The Maison Arabe hotel and restaurant were both excellent It is well located to explore Marrakech on foot. The service was excellent. The staff were friendly and professional without being over the top. The room was perfect .Breakfasts by the pool were very good and the dinner we had in the restaurant Les Trois Saveurs was excellent . The wine list is good. The spa treatments were of a high standard I cannot praise it highly enough.,La_Maison_Arabe,Marrakech
 January 2014,5,They have it all!,"Most of the restaurants we review may score highly on food or location or service but rarely all 3. Our evening at Maison Arabe was outstanding on all 3! We nearly booked to stay there this time and on the basis of our visit tonight, we know for sure where we will book for any return stay in Marrakech. In just a 2 hour visit tonight we were made to feel more welcome than we have in our 3 days at our hotel ( that review will follow) Nothing was too much trouble and the standard of service was friendly and pleasant from front of house, to bar staff and waiting staff. These people have really got it right. It takes more than a nice pool and nice grounds or good location for a hotel and restaurant to lure people back. We will go back and so will you once you visit!",La_Maison_Arabe,Marrakech
 January 2014,5,Just lovely.,"We stayed here for four nights and have enjoyed every minute. The premises are superb, but even the most palatial of places can only be as good as the people who work there; from the doorman to the chambermaids to the senior managers, we can only speak in the most positive terms. La Maison Arabe has given us a wonderful holiday. We are not home yet and already I'm wondering how soon we'll be back.",La_Maison_Arabe,Marrakech
 December 2013,5,A superb Christmas break.,The Maison Arabe certainly did not let us down. We arrived 24 hours late because of the foul weather in Britain before Christmas. The service in the hotel was brilliant and nothing was too much trouble for the office staff. Much to my surprise the emigration departure forms had been filled in saving the chore of having to wrestle with forms and hand luggage at the airport! Should the opportunity to visit Marrakech again it would certainly be to stay at the Maison Arabe.,La_Maison_Arabe,Marrakech
 December 2013,5,A Perfect setting for a family Christmas 2013,It was everything we had hoped for and more . Apart from the comfortable setting and perfect location it was the staff that really made the stay very special. Nothing was too much trouble and they all took the time to get to know us over the week. Smiling at every turn. Thank you.,La_Maison_Arabe,Marrakech
 October 2013,5,Fantastic,"Morocco is a country full of rich culture. Life in Morocco is full of contrasts, whether it be people, colors at the markets or the accommodation . Arriving in Marrakech, which is full on, hot, busy market places and many sites to see. It was a wonderful relief to arrive at La Maison Arabe. It is the oldest Raid in Marrakech and it is full of charm, and old world delights. The windy stairs to the beautiful spacious apartment or the jazz Bar, or the most amazing experience at the restaurant. Everything here is sincere, the people who work here, truly love to share the experience with you. Nothing is too much trouble. The service is impeccable, everybody wants to have you smile and enjoy the experience. That's exactly what we did.",La_Maison_Arabe,Marrakech
 December 2013,5,A gracious and comfortable property in the Marrakech Medina,"My wife, 16 year old son and I spent five nights at La Maison Arabe in December, 2013. The hotel came highly praised. Our experience did not disappoint. The setting: La Maison Arabe is near the edge of the Medina in Marrakech. That makes it relatively easy to get to upon arrival (or by vehicle) – but also perhaps makes the experience just a little less exotic than that of some of the other properties (say, Maison MK) that are deeper into the Medina. That said, it was plenty exotic enough for us. It is comprised – we were told – of 5 separate riads (walled houses built around courtyards) that were combined into a single hotel. The “patio” side of the hotel is original (older, more maze-like spaces), while the “garden” side is of new construction (and actually separated…",La_Maison_Arabe,Marrakech
 October 2013,5,Absolutely Fabulous! Outstanding!,"I have travelled worldwide and La Maison Arabe is definitely one of my favourites! We had The Royal Suite with a private terrace and jacuzzi . The staff were wonderful and we were treated really well. Taoufik and Adil took especial care of us, and trust me we were difficult clients! ( five girls ) From start to finish, the break was fantastic. The staff took care of our reservations for nights out, taxis, advise of places to see and a trip to The Atlas Mountains. We had fresh flowers in our room and afternoon teas. - the holiday was made special by the hotel. I would definitely stay at La Maison Arabe again! Thank you Taoufik and staff for all your kindness",La_Maison_Arabe,Marrakech
 December 2013,5,Dinner was fabulous!,"My mother, sister and I had dinner there while we were in Marrakech for the holidays. While the walk down the alley to the restaurant seemed a bit shady, Maison Arabe staff went out of their way to make us feel safe and welcome. The menu was overwhelming. So many choices. It was hard to choose. The wine was also excellent with a good wine selection. No matter where you are staying in Marrakech, take one evening to go to Maison Arabe.",La_Maison_Arabe,Marrakech
 January 2014,5,Stunning food and service,"We ate there last night. The bar is more fun than the fine dining and you are not restricted on the menu options. We were spoilt for choice, the menu was so varied. The atmosphere was relaxed with a piano player who nearly hit all the right notes.... Food and service were fantastic, highly recommended, it doesn't get its number one status for nothing! We'd most certainly stay there next time as by day the hotel and amenities were first class.",La_Maison_Arabe,Marrakech
 December 2013,5,Outstanding!,I had the pleasure to stay at La Maison Arabe as part of a birthday party and I was most impressed by the service and friendliness of all their staff. It is very homely and individual and I would recommened this wonderful hotel to anybody. It was the absolute highlight of my Marocco holiday all the way from Australia. Thank you very much.,La_Maison_Arabe,Marrakech
 January 2013,5,Wonderful characterful hotel in Marrakech!!,"Of all the hotels we have stayed at, La Maison Arabe it's the only one we stayed twice. The hotel has two parts. The older rooms are full of character and nicely decorated in the old part of the building, the newer part of the hotel has more modern rooms, which they are also lovely but more modernly decorated. The restaurant at the hotel is really good, would recommend to try it if you have time, as there is so many good places to eat in Marrakech... It also worth going to the out of town gardens and pool belonging to the hotel, there is a complementary bus service and its a nice place to visit and relax. No need to say, that if we ever go,back to Marrakesh we'll be staying in La Maison Arabe.",La_Maison_Arabe,Marrakech
 October 2013,5,Best hotel of the trip,"We stayed here with two other couples as part of a Moroccan tour and it was the best of the trip. Our room overlooked the pool and restaurant area and had views of the nearby mosque. The service here was simply the best. Staff at the front desk knew our names immediately and treated us to a healing rosemary, thyme and lavender tea when we mentioned we had stomach troubles. Our room was spacious with two flat screen TVs, a wonderful bathroom, great WIFI connection, and a comfortable bed. We simply loved it here!",La_Maison_Arabe,Marrakech
 December 2013,5,The very best Moroccan food in Marrakesh,"This restaurant is the very best genuine Moroccan food you can have in Marrakesh at the most beautiful Ryad in a decor and atmosphere that complete the experience to a level you will not find anywhere else. We have been to other top rated restaurants in Marrakesh during our trip but this one is our #1. The service is impeccable , the live music is a charm and the Moroccan wine list is a great treat.",La_Maison_Arabe,Marrakech
 November 2013,5,Fantastic hotel - service par excellence,"My girlfriend and I spent four fantastic nights here recently for my 50th birthday celebration. Marrakech was wonderful and exotic, and the hotel made our stay equally memorable. We had read the good reviews before making our booking, but the hotel surpassed our expectations. The service, from the moment we arrived to when we left, was exceptional - all the staff was friendly, attentive, and nothing was too much trouble. I have stayed in a lot of top hotels around the world - La Maison Arabe ranks as one of the best, in terms of service. They have managed to combine luxury with that special, personal touch. All the little touches, that many institutions find so difficult to accommodate, seem to come naturally to the staff here. Nothing was too much trouble. For example, when…",La_Maison_Arabe,Marrakech
 December 2013,5,Wedding Anniversary break,"We've just returned form a fabulous long weekend in Marrakech, staying at La Maison Arabe. On arrival we were upgraded to a suite, and shortly after our bags were delivered our fresh complimentary cocktails arrived. This was a lovely room, and nothing was too much for the friendly and courteous staff. We enjoyed an excellent meal in the traditional Moroccan restaurant on site. the highlight was the Moroccan cookery class we signed up to on our last afternoon. This was the highlight of our trip - and we enjoyed the results after the end of the course. A lovely hotel that is a little bit of luxury, in a fascinating city.",La_Maison_Arabe,Marrakech
 November 2013,5,Loved this boutique hotel!,"Recently returned from a girl's week trip to Marrakech. Loved this hotel. It was so charming. The food was the best we had in Marrakech. We did a cooking class which I would highly recommend. Unfortunately, I missed the spa but my friends who went said it was amazing. Service was excellent. Jose and owner was so nice and helpful!",La_Maison_Arabe,Marrakech
 November 2013,5,Fantastic Honeymoon in a beautiful hotel,"We just got back from our honeymoon at La Maison Arabe. We took the Royal Suite, which is over 3 floors including private roof terrace and jacuzzi, and were just overwhelmed by the place and especially by the staff. From the bellboy to the manager, they could not do enough for us and they really made the holiday for us. For example, we were very bad at planning and woke up one morning feeling like a trip to the Ourika valley. We asked the manager at 10:45 if it was too late to organise an excursion that day and by 11:00 he had a people carrier and driver outside the front door waiting for us. The breakfasts were wonderful - weather permitting these are served by the pool and besides a wide range of buffet food, they will cook eggs for you any way you like. Be sure to…",La_Maison_Arabe,Marrakech
 December 2013,5,A great hotel - and restaurant,"I celebrated a birthday at this historic and beautiful riad, Le Maison Arabe, by participating in their introductory cooking course followed by a dinner with friends. Regrettably we did not stay at this wonderful hotel this time - but hopefully during the next visit to Marrakech. The cooking course was top notch - very informative, entertaining and perfectly planned as well as executed. The cooking courses of Le Maison Arabe are highly recommendable. As to the dinner itself - the food was beyond wonderful and the settings were incredibly beautiful. Even though I did not stay at the hotel - I had to communicate with the staff on several occasions for planning etc. The level of service offered at this hotel is incredible, - possibly beyond anything you find elsewhere in Morocco.…",La_Maison_Arabe,Marrakech
 September 2013,5,Splendor,"This is a beautiful place and like most of The Medina's best spots it's hidden away in a modest and relatively hard to find location. The modest exterior doesn't prepare you for the splendor and relaxed decadence inside. We didn't stay but visited for drinks on one night and I felt like I'd be transported into a different era. This is a pretty special experience for the senses and the ego - almost psychedelic if you understand my meaning. On another occasion we ate with friends and family... food in Marrakesh can be repetitive but is generally to my taste so I am more than happy about that. This was among the best examples of Moroccan food, particularly the platters to start with and the setting was really nice and colourful with live music (just right, not too intrusive). …",La_Maison_Arabe,Marrakech
 November 2013,5,Exceptional,"Just returned from an incredible first trip to Marrakech and 3 wonderful nights at La Maison Arabe. It's located inside the old city, a 10 minute walk from the large square. The hotel is larger than we were expecting and has 2 restaurants, a bar and large spa. Our room was immaculately clean and beautifully decorated, had a private terrace, and the wifi worked perfectly in the room and common areas of the hotel. Everyone on the staff is first class and made us immediately feel at home. A highlight for us was spending our last afternoon at the hotel's heavenly country property. They provide free transportation there. It was the most peaceful and relaxing way to unwind after two days of running around the city. The staff at the country property was also exceptional, we felt like…",La_Maison_Arabe,Marrakech
 November 2013,5,An amazing hotel,"My wife and I stayed at La Maison Arabe in Marrakech for three nights as part of an extensive trip around Morocco. We had already experienced some terrific Riads in Rabat, Fes and Ouarzazate but La Maison Arabe was easily the best accommodation we stayed in during our Moroccan trip. In fact, La Maison Arabe may be the best accommodation we have ever stayed in. Certainly nothing springs to mind that we would say was better. The level of individual service provided by the staff at La Maison Arabe has to be experienced to be believed. They even gave us a cellular phone with the number of the Riad already entered so that we could call if we ever had any problems while visiting the city. In addition to the service (which is really what sets this hotel apart from others) the…",La_Maison_Arabe,Marrakech
 November 2013,5,First Class,This place is first class. The decor is charming with nice rooms filled with antiques and unique carpets. They also have a cooking school where we learned how to make a tagine. The staff is first class as well.,La_Maison_Arabe,Marrakech
 November 2013,5,A piece of quiet paradise in the middle of Marrakech,"We stayed at La Maison Arabe in the middle of November 2013. The hotel is tucked away down a quiet street about 20 minutes walk from the main square. It has a quiet unassuming entrance which leads into a beautiful interior of 6 raids beautifully decorated with a cool courtyard. Our room was tastefully decorated in typical Moroccan style. The hotel has two excellent restaurants ( one indoors specialising in Moroccan food and one outside for Moroccan and international food). There is also a villa outside of the city owned by the hotel which has an outdoor pool etc. this is 20 minutes away via free hotel taxi and when we were there, there were only 4 other people. It was like having your own villa. The staff at the hotel were very very polite and attentive. The main square and…",La_Maison_Arabe,Marrakech
 October 2013,5,Loved our stay here,"La Maison Arabe is a very special place, and one of the best small hotels we have ever stayed in. It's located within walking distance of everything we wanted to see in Marrakesh: the old marketplace, the main square, the new city, and even the Jardin Majorelle. We were able to go to all by foot. The service at the hotel was flawless and personalized, friendly without being too much so, just perfect. Our room (called ""Noor""), although up quite a few stairs, was beautifully decorated, and had two private terraces; well worth the climb. We especially enjoyed the atmosphere at night, between the candlelit salons and patios, the musicians, the great ambiance in the piano bar, and dinner overlooking the pool. Magical! My husband and I were totally seduced by the city of Marrakesh.…",La_Maison_Arabe,Marrakech
 November 2013,5,Just Great,It was service from the start to the end. Very frendly staff and we were upgraded without asking. Good food and great room. Spa can be recommended. We stayed in the royal suite with it's own private sundeck,La_Maison_Arabe,Marrakech
 October 2013,5,Wonderful hotel,"I recently went to Marrakesh and stayed at La Maison Arabe. I somehow got booked in this beautiful suite. The room is well apponted with traditional Moroccan furnishing. The service at the hotel was amazing and they attended to your every whim with a smile. For example, I informed that I was heading out to the souk on my own (as a single woman) and without prompting they provided me with a local cell phone to insure that if I needed help I could easily reach the hotel and have someone come get me.",La_Maison_Arabe,Marrakech
 November 2013,5,THE jewel of marrakech,"No words can express the feelings ..la maison arabe was our Home during our stay in the busy city of marrakech.the decor is awesome, the friendliness of the staff was beyond expectation.the food was full of taste and the spa was soo relaxing..thanks to all the staff, Nabila, Hicham you made our stay an unforgettable one.we will come back and La maison arabe is THE address for all marrakech visitors",La_Maison_Arabe,Marrakech
 November 2013,5,Complete luxury,"What an absolutely wonderful place to stay whilst in Mattakech. The whole experience is fabulous from the moment we arrived we were treated so well by all the staff who all seemed to know our names and couldnt have been more helpful in ordering taxis', booking dinner reservations and a guide. We had dinner by the pool and the food was excellant. Breakfast is plentiful with a wide choice available. Our favourite place was the lounge which along with the adjoining courtyard is a great place to take afternoon complimentary tea. The decor is sumptous and so comfortable to relax after the craziness of the outside! Each night we had a drink in the jazz bar, another relaxing place to be especially when the fire is lit. The whole place is beautifully decorated, it felt very luxurious…",La_Maison_Arabe,Marrakech
 November 2013,5,Absolute luxury,"It is quite simply the most delightful hotel I have ever stayed at, where attentiveness, service, food quality, cleanliness are all priority. You enter the hotel, are given a guided tour, offered a welcome drink, then shown to your suite. The decor is sumptuous, do you want to relax in the jazz bar, or maybe your own terrace, possibly the courtyard but you've the international restaurant, the Moroccan restaurant, the poolside or the hamman to chose from as well. Oh heck, don't forget to visit Marrakech, and if that feels like hard work they'll book the guide to get you around. The busiest most pleasant two day romantic trip where we didn't have to lift a finger. All trips have niggles- it rained !",La_Maison_Arabe,Marrakech
